entry,exit,direction,entry_price,atr,win_target,loss_target,result
2026-08-20 16:42:00,2026-08-20 16:46:00,short,413.39,0.2142142857142874,413.1757857142857,413.7113214285714,loss
2026-08-20 16:46:00,2026-08-20 16:53:00,long,413.74,0.20357142857142613,413.94357142857143,413.4346428571429,loss
2026-08-20 16:54:00,2026-08-20 17:00:00,short,413.5,0.170035714285705,413.3299642857143,413.75505357142856,tie
2026-08-20 17:00:00,2026-08-20 17:02:00,long,413.74,0.16038571428571555,413.90038571428573,413.49942142857145,win
2026-08-20 17:08:00,2026-08-20 17:16:00,short,413.44,0.15884285714286403,413.2811571428571,413.6782642857143,tie
2026-08-20 17:16:00,2026-08-20 17:19:00,long,413.61,0.14466428571428278,413.7546642857143,413.3930035714286,tie
2026-08-20 17:19:00,2026-08-20 17:21:00,short,413.43,0.1473642857142831,413.28263571428573,413.6510464285714,loss
2026-08-20 17:21:00,2026-08-20 17:22:00,long,413.68,0.15408571428570944,413.8340857142857,413.44887142857147,win
2026-08-20 17:27:00,2026-08-20 17:29:00,short,413.52,0.18062142857141744,413.33937857142854,413.7909321428571,loss
2026-08-20 17:29:00,2026-08-20 17:31:00,long,413.835,0.19727142857142002,414.0322714285714,413.53909285714286,win
2026-08-20 17:52:00,2026-08-20 17:57:00,short,414.33,0.09916428571427868,414.2308357142857,414.4787464285714,loss
2026-08-20 17:57:00,2026-08-20 18:01:00,long,414.485,0.09624285714285666,414.58124285714285,414.3406357142857,loss
2026-08-20 18:06:00,2026-08-20 18:07:00,short,414.44,0.1240785714285794,414.3159214285714,414.62611785714284,win
2026-08-20 18:18:00,2026-08-20 18:19:00,long,413.8828,0.2121428571428591,414.0949428571428,413.56458571428567,win
2026-08-20 18:44:00,2026-08-20 18:46:00,short,414.53,0.12254285714286084,414.4074571428571,414.71381428571425,win
2026-08-20 18:49:00,2026-08-20 18:50:00,long,414.64,0.12492857142856499,414.7649285714285,414.4526071428571,win
2026-08-20 18:58:00,2026-08-20 19:00:00,short,414.69,0.13365714285714603,414.55634285714285,414.8904857142857,win
2026-08-20 19:06:00,2026-08-20 19:08:00,long,414.785,0.13077857142858257,414.91577857142863,414.58883214285714,win
2026-08-20 19:19:00,2026-08-20 19:21:00,short,415.04,0.12147857142858243,414.91852142857147,415.2222178571429,win
2026-08-20 19:23:00,2026-08-20 19:26:00,long,415.24,0.12995714285714502,415.3699571428572,415.0450642857143,loss
2026-08-20 19:26:00,2026-08-20 19:28:00,short,414.9901,0.13388571428571286,414.85621428571426,415.19092857142857,win
2026-08-20 19:36:00,2026-08-20 19:37:00,long,414.95,0.13800000000000118,415.08799999999997,414.743,win
2026-08-20 19:46:00,2026-08-20 19:48:00,short,415.03,0.17030714285714663,414.8596928571428,415.2854607142857,tie
2026-08-20 19:48:00,2026-08-20 19:50:00,long,415.26,0.18707142857143463,415.4470714285714,414.97939285714284,win
2026-08-20 19:57:00,2026-08-21 13:30:00,short,415.25,0.20657142857142421,415.0434285714286,415.55985714285714,loss
2026-08-21 13:30:00,2026-08-21 13:37:00,long,420.26,0.5669357142857133,420.8269357142857,419.40959642857143,win
2026-08-21 13:51:00,2026-08-21 13:52:00,short,420.55,0.307235714285708,420.2427642857143,421.0108535714286,win
2026-08-21 14:02:00,2026-08-21 14:05:00,long,420.64,0.3312142857142817,420.97121428571427,420.14317857142856,win
2026-08-21 14:32:00,2026-08-21 14:33:00,short,421.6,0.2616428571428579,421.33835714285715,421.99246428571433,win
2026-08-21 14:48:00,2026-08-21 14:50:00,long,420.88,0.41822142857143213,421.2982214285714,420.25266785714285,win
2026-08-21 14:55:00,2026-08-21 14:59:00,short,420.65,0.3782785714285727,420.2717214285714,421.21741785714283,loss
2026-08-21 15:02:00,2026-08-21 15:05:00,long,421.144,0.30712142857143476,421.45112142857147,420.68331785714287,win
2026-08-21 15:49:00,2026-08-21 15:51:00,short,422.64,0.16669999999999568,422.4733,422.89005,loss
2026-08-21 15:51:00,2026-08-21 15:52:00,long,422.875,0.17919999999999245,423.0542,422.6062,win
2026-08-21 16:08:00,2026-08-21 16:10:00,short,422.86,0.24292857142857624,422.6170714285714,423.2243928571429,loss
2026-08-21 16:13:00,2026-08-21 16:20:00,long,423.3595,0.25322142857141977,423.61272142857143,422.9796678571429,loss
2026-08-21 16:20:00,2026-08-21 16:21:00,short,422.9975,0.2221142857142695,422.77538571428573,423.3306714285714,loss
2026-08-21 16:32:00,2026-08-21 16:38:00,long,423.35,0.23987857142857041,423.5898785714286,422.9901821428572,win
2026-08-21 17:12:00,2026-08-21 17:13:00,short,424.275,0.20821428571428718,424.0667857142857,424.5873214285714,win
2026-08-21 17:28:00,2026-08-21 17:44:00,long,423.96,0.27647142857143436,424.2364714285714,423.54529285714284,tie
