time,open,high,low,close,volume,atr,Tankan_sen,Kijun_sen,ssl_up,ssl_down,bull_ema,bear_ema,aroon_up,aroon_down,deadzone,trend_up,trend_down,e1,trend_up_color,trend_down_color
2026-08-20 13:52:00,411.0,411.34,410.95,411.34,24048,0.332428571428563,411.275,,411.067,411.34700000000004,0.046554545454542524,0.05444757575757501,30.0,70.0,1.7980224085244643,0.48997875061104423,-0.0,1.1571663283980342,green,orange
2026-08-20 13:53:00,411.37,411.403,411.09,411.09,8122,0.3265714285714247,411.275,,411.046,411.3313,0.05882636363635959,0.07070666666666538,20.0,60.0,1.7916231844392214,0.0,1.6154998118202002,0.9273531184585408,lime,red
2026-08-20 13:54:00,411.09,411.34,410.9801,411.335,13941,0.31799285714285475,411.185,,411.31629999999996,411.00600999999995,0.08363090909090537,0.0741472727272718,10.0,50.0,1.7870232525948284,0.3071651299956102,-0.0,0.6544963640274091,green,orange
2026-08-20 13:55:00,411.34,411.41,411.07,411.13,26676,0.29299285714285717,411.13,410.76,411.28729999999996,410.98000999999994,0.08843515151514862,0.08713333333333133,0.0,40.0,1.7817330200688812,0.0,1.420743136444571,0.6564132331317296,lime,red
2026-08-20 13:56:00,411.15,411.22,410.98,411.0,25978,0.29020714285714383,411.13,410.76,411.25730000000004,410.96201,0.0847999999999977,0.09643757575757256,0.0,30.0,1.7727956898681927,0.0,2.2198650758355143,0.671684618974723,green,red
2026-08-20 13:57:00,411.0,411.05,410.86,410.86,17412,0.28520714285714427,411.13,410.76,410.95601,411.2413,0.07308909090908897,0.107772121212116,80.0,20.0,1.7620977329695107,0.0,2.892455027482015,0.7240661615588806,green,red
2026-08-20 13:58:00,410.85,411.03,410.69,410.98,25666,0.30163571428571295,411.05,410.81,410.93201,411.2243,0.07228727272727155,0.10381878787878218,70.0,100.0,1.7570567556398144,0.0,1.5197838496828808,0.7415254090113876,green,orange
2026-08-20 13:59:00,410.99,410.99,410.795,410.93,53971,0.28913571428571216,411.05,410.98,410.92650999999995,411.20230000000004,0.06675818181818123,0.09619878787878332,60.0,90.0,1.746701188083416,0.0,1.6475225696416373,0.7692294268662181,green,red
2026-08-20 14:00:00,410.94,411.59,410.935,411.53,24256,0.3105642857142844,411.14,411.01,411.24830000000003,410.93100999999996,0.11141090909090584,0.08312424242423927,100.0,80.0,1.7536541762025806,2.9378390892924244,-0.0,0.7685938326435462,green,orange
2026-08-20 14:01:00,411.565,411.72,411.44,411.555,21246,0.30913571428571424,411.20500000000004,411.17,411.3093,410.97901,0.13124545454545292,0.06883757575757377,100.0,70.0,1.746477634440556,2.368674131608941,-0.0,0.8321995557739683,lime,red
2026-08-20 14:02:00,411.635,411.8,411.495,411.51,26105,0.31163571428571607,411.245,411.21000000000004,411.3553,411.03351000000004,0.12864060606060598,0.058027575757575854,100.0,60.0,1.7402978580961506,1.393189630497318,-0.0,0.8705114622413248,lime,red
2026-08-20 14:03:00,411.52,411.52,411.12,411.22,17433,0.31449285714286035,411.245,411.21000000000004,411.367,411.03651,0.10839121212121328,0.07234848484848296,90.0,50.0,1.737694879515188,0.0,1.1459300171577524,0.8447982104738685,lime,red
2026-08-20 14:04:00,411.21,411.28,411.04,411.13,9217,0.3144928571428563,411.245,411.21000000000004,411.361,411.0425,0.08936363636363742,0.08433333333333311,80.0,40.0,1.7291979307200345,0.0,1.6863123050154627,0.8084211875129768,green,red
2026-08-20 14:05:00,411.11,411.12,410.99,410.99,14095,0.3137785714285672,411.245,411.21000000000004,411.03450000000004,411.332,0.07359090909091003,0.09496969696969672,70.0,30.0,1.7170859514128336,0.0,2.4494458661001772,0.8062193874067134,green,red
2026-08-20 14:06:00,410.98,411.4,410.86,411.14,15849,0.32449285714285125,411.245,411.21000000000004,411.02250000000004,411.35,0.07293939393939271,0.08977272727272745,60.0,20.0,1.7198950918987037,0.0,0.937377335714018,0.8043827156659518,green,orange
2026-08-20 14:07:00,411.11,411.22,410.94,411.2,9322,0.3221357142857073,411.2975,411.245,411.0305,411.367,0.0725757575757553,0.0789090909090908,50.0,10.0,1.7130561409797178,0.0,0.3881797425475497,0.8053089473180535,green,orange
2026-08-20 14:08:00,411.22,411.3411,411.16,411.3,7709,0.30936428571427704,411.33000000000004,411.245,411.07750000000004,411.39811,0.07348484848484797,0.06606060606060592,40.0,0.0,1.702626279569919,0.33370645998957116,-0.0,0.8135527645030152,green,orange
